"","sci_name","presence","origin","seasonal","compiler","yrcompiled","citation","dec_lat","dec_long","spatialref","subspecies","subpop","data_sens","sens_comm","event_year","source","basisOfRecord","catalogNumber","recordedBy","recordNumber","dist_comm","tax_comm"
"73","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,-17.63333,26.03333,"WGS84",NA,NA,NA,NA,1997,"urn:catalog:MO:Tropicos:1160818","PRESERVED_SPECIMEN","1160818","Noah B. Zimba|et al.","Tropicos",NA,NA
"74","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,-19.559667,16.866028,"WGS84",NA,NA,NA,NA,1997,"https://data.biodiversitydata.nl/naturalis/specimen/WAG.1280671","PRESERVED_SPECIMEN","WAG.1280671","Germishuizen G","Botany",NA,NA
"75","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,4.883333,38.15,"WGS84",NA,NA,NA,NA,1997,"https://data.biodiversitydata.nl/naturalis/specimen/WAG.1280674","PRESERVED_SPECIMEN","WAG.1280674","Friis I; Bidgood GS; Melaku Wondafrash; Gashaw Gibre-Hiwot","Botany",NA,NA
"76","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,4.733333,38.8,"WGS84",NA,NA,NA,NA,1997,"https://data.biodiversitydata.nl/naturalis/specimen/WAG.1280685","PRESERVED_SPECIMEN","WAG.1280685","Friis I; Bidgood GS; Melaku Wondafrash; Malaku Legesse; Gashaw Gibre-Hiwot","Botany",NA,NA
"77","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,-16.69666,25.02333,"WGS84",NA,NA,NA,NA,1996,"urn:catalog:MO:Tropicos:1005752","PRESERVED_SPECIMEN","1005752","Daniel K. Harder|et al.","Tropicos",NA,NA
"78","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,-4.73361,29.61722,"WGS84",NA,NA,NA,NA,1996,"urn:catalog:MO:Tropicos:1007376","PRESERVED_SPECIMEN","1007376","Roy E. Gereau|F.M. Mbago|et al.","Tropicos",NA,NA
"79","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,-15.383333,22.866667,"WGS84",NA,NA,NA,NA,1996,"urn:catalog:MO:Tropicos:1010718","PRESERVED_SPECIMEN","1010718","Ben Luwiika|Daniel K. Harder|Michael Graham Bingham|Noah B. Zimba","Tropicos",NA,NA
"80","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,-16.696667,25.023333,"WGS84",NA,NA,NA,NA,1996,"https://data.biodiversitydata.nl/naturalis/specimen/WAG.1280663","PRESERVED_SPECIMEN","WAG.1280663","Harder DK; Zimba NB; Luwiika B","Botany",NA,NA
"81","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,-4.733611,29.617222,"WGS84",NA,NA,NA,NA,1996,"https://data.biodiversitydata.nl/naturalis/specimen/WAG.1280664","PRESERVED_SPECIMEN","WAG.1280664","Gereau RE; Mbago FM","Botany",NA,NA
"82","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,-7.2755,36.3058,"WGS84",NA,NA,NA,NA,1993,"UPS:BOT:V-693142","PRESERVED_SPECIMEN","V-693142","Mariette Manktelow","BOT",NA,NA
"83","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,17.283333,54.216667,"WGS84",NA,NA,NA,NA,1993,"http://data.rbge.org.uk/herb/E00099199","PRESERVED_SPECIMEN","E00099199","McLeish, Ian M.","E",NA,NA
"84","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,-4.545278,38.43927,"WGS84",NA,NA,NA,NA,1993,"TanBIF:TAFORI-LSRC:ACANTH:KIS:149","PRESERVED_SPECIMEN","ACANTH:KIS:149","Kisena","ACANTHACEAE",NA,NA
"85","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,-5.53333,38.63333,"WGS84",NA,NA,NA,NA,1991,"urn:catalog:MO:Tropicos:503026","PRESERVED_SPECIMEN","503026","Frontier-Tanzania","Tropicos",NA,NA
"86","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,-7.133333,35.983333,"WGS84",NA,NA,NA,NA,1989,"urn:catalog:MO:Tropicos:953825","PRESERVED_SPECIMEN","953825","B.E. Mhoro","Tropicos",NA,NA
"87","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,-6.5,36.366667,"WGS84",NA,NA,NA,NA,1988,"urn:catalog:MO:Tropicos:100995639","PRESERVED_SPECIMEN","100995639","G. Sally Bidgood|L.B. Mwasumbi|K.B. Vollesen","Tropicos",NA,NA
"88","Justicia heterocarpa",NA,NA,NA,NA,NA,NA,-6.5,36.366667,"WGS84",NA,NA,NA,NA,1988,"urn:catalog:MO:Tropicos:103026160","PRESERVED_SPECIMEN","103026160","G. Sally Bidgood|L.B. Mwasumbi|K.B. Vollesen","Tropicos",NA,NA
